CoM ID,Common Name,Scientific Name,Genus,Family,Diameter Breast Height,Year Planted,Date Planted,Age Description,Useful Life Expectency,Useful Life Expectency Value,Precinct,Located in,UploadDate,CoordinateLocation,Latitude,Longitude,Easting,Northing
1520144,Black Wattle,Acacia mearnsii,Acacia,Fabaceae,,,,,,,,Park,24/08/2019,"(-37.78373779169031, 144.94528077532087)",-37.783737791690314,144.94528077532087,319062.9,5816191.04
1520387,Black Wattle,Acacia mearnsii,Acacia,Fabaceae,,,,,,,,Park,24/08/2019,"(-37.7843239927827, 144.94486155584647)",-37.7843239927827,144.94486155584647,319027.41,5816125.18
1048477,Wirilda,Acacia retinoides,Acacia,Fabaceae,,1998.0,15/12/1998,,,,,Park,24/08/2019,"(-37.79023912171797, 144.94804432401477)",-37.79023912171797,144.94804432401475,319322.12,5815474.96
1044656,Grey Sheoak,Casuarina glauca,Casuarina,Casuarinaceae,,1998.0,30/11/1998,,,,,Park,24/08/2019,"(-37.78779885158007, 144.94953091427678)",-37.78779885158007,144.94953091427678,319447.09,5815748.62
1492707,Lemon Scented Gum,Corymbia citriodora,Corymbia,Myrtaceae,,2011.0,06/07/2011,,,,,Park,24/08/2019,"(-37.82047309869893, 144.9447743160809)",-37.82047309869893,144.94477431608092,319107.96,5812113.68
1067995,Willow Gum,Eucalyptus scoparia,Eucalyptus,Myrtaceae,17.0,2006.0,16/11/2006,Semi-Mature,21-30 years,30.0,,Street,24/08/2019,"(-37.79364167366445, 144.95577455410097)",-37.79364167366445,144.95577455410097,320011.11,5815112.31
1440132,Kanooka,Tristaniopsis laurina,Tristaniopsis,Myrtaceae,4.0,2009.0,21/10/2009,New,31-60 years,60.0,,Street,24/08/2019,"(-37.830907326443416, 144.98768234460172)",-37.830907326443416,144.98768234460172,322909.88,5811038.08
1604986,Sheoak,Casuarina unknown,Casuarina,Casuarinaceae,,2015.0,13/11/2015,,,,,Street,24/08/2019,"(-37.788570797641896, 144.90441552957287)",-37.788570797641896,144.90441552957287,315475.96,5815574.84
1046633,Black Wattle,Acacia mearnsii,Acacia,Fabaceae,,1998.0,12/08/1998,,,,,Park,24/08/2019,"(-37.788751331231225, 144.9520546978735)",-37.788751331231225,144.9520546978735,319671.66,5815647.8
1042408,Wirilda,Acacia retinoides,Acacia,Fabaceae,,1998.0,20/11/1998,,,,,Park,24/08/2019,"(-37.79318426444431, 144.9542763298039)",-37.793184264444314,144.95427632980392,319878.07,5815160.18
1038210,Prickly Paperbark,Melaleuca styphelioides,Melaleuca,Myrtaceae,29.0,1998.0,11/05/1998,Semi-Mature,11-20 years,20.0,,Park,24/08/2019,"(-37.78593520436645, 144.96039295301497)",-37.78593520436645,144.96039295301497,320399.13,5815976.35
1520050,Black Wattle,Acacia mearnsii,Acacia,Fabaceae,,,,,,,,Park,24/08/2019,"(-37.78666796557327, 144.94366439030563)",-37.78666796557327,144.94366439030563,318927.7,5815862.76
1605007,,Banksia unknown,Banksia,Proteaceae,,2015.0,01/09/2015,,,,,Park,24/08/2019,"(-37.83074887642434, 144.97515591303082)",-37.830748876424344,144.97515591303082,321807.02,5811031.83
1048790,Willow Bottlebrush,Callistemon salignus,Callistemon,Myrtaceae,,1998.0,15/12/1998,,,,,Park,24/08/2019,"(-37.78968371167829, 144.94668360858006)",-37.78968371167829,144.94668360858006,319200.94,5815533.96
1047293,Drooping sheoak,Allocasuarina verticillata,Allocasuarina,Casuarinaceae,,1998.0,12/11/1998,,,,,Park,24/08/2019,"(-37.78983042735324, 144.94932167778458)",-37.789830427353245,144.94932167778458,319433.61,5815522.78
1015818,Elm,Ulmus unknown,Ulmus,Ulmaceae,73.0,1997.0,10/03/1997,Mature,11-20 years,20.0,,Street,24/08/2019,"(-37.79886101834842, 144.95365214677975)",-37.798861018348425,144.95365214677975,319836.9,5814529.05
1521709,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,2012.0,27/04/2012,,,,,Street,24/08/2019,"(-37.78277057374997, 144.9434848071371)",-37.782770573749964,144.94348480713708,318902.37,5816294.89
1635856,River Sheoak,Casuarina cunninghamiana,Casuarina,Casuarinaceae,,2016.0,28/06/2016,,,,,Park,24/08/2019,"(-37.8114481540893, 144.93536480231703)",-37.8114481540893,144.93536480231703,318257.55,5813096.88
1510248,London Plane,Platanus x acerifolia,Platanus,Platanaceae,,2012.0,13/06/2012,,,,,Street,24/08/2019,"(-37.8120027171454, 144.94847001073757)",-37.8120027171454,144.94847001073757,319412.63,5813060.76
1358552,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,,2009.0,04/07/2009,,,,,Street,24/08/2019,"(-37.820672852805636, 144.95230290010176)",-37.820672852805636,144.95230290010176,319771.15,5812106.07
1287023,Dutch Elm,Ulmus x hollandica,Ulmus,Ulmaceae,5.0,,,Juvenile,61+ years,80.0,,Park,24/08/2019,"(-37.80699180996085, 144.97003328080973)",-37.80699180996085,144.97003328080973,321298.87,5813658.27
1512607,Drooping sheoak,Allocasuarina verticillata,Allocasuarina,Casuarinaceae,,2012.0,31/07/2012,,,,,Park,24/08/2019,"(-37.782369997853756, 144.9460100355126)",-37.782369997853756,144.9460100355126,319123.79,5816344.23
1015730,Brush Box,Lophostemon confertus,Lophostemon,Myrtaceae,45.0,1997.0,10/02/1997,Mature,11-20 years,20.0,,Street,24/08/2019,"(-37.79213126346166, 144.94577674969787)",-37.792131263461656,144.94577674969787,319127.05,5815260.61
1763752,Boobialla,Myoporum insulare,Myoporum,Scrophulariaceae,,2019.0,13/06/2019,,,,,Park,24/08/2019,"(-37.80313953547739, 144.92852036050243)",-37.80313953547739,144.92852036050243,317634.55,5814005.52
1288273,Callery Pear,Pyrus calleryana,Pyrus,Rosaceae,10.0,2008.0,30/06/2008,Juvenile,21-30 years,30.0,,Street,24/08/2019,"(-37.80288544178044, 144.95403308414376)",-37.80288544178044,144.95403308414376,319880.22,5814083.21
1663356,Simon Poplar,Populus simonii,Populus,Salicaceae,,2017.0,11/05/2017,,,,,Street,24/08/2019,"(-37.809054761452906, 144.95907324779648)",-37.809054761452906,144.95907324779648,320338.94,5813408.33
