CoM ID,Common Name,Scientific Name,Genus,Family,Diameter Breast Height,Year Planted,Date Planted,Age Description,Useful Life Expectency,Useful Life Expectency Value,Precinct,Located in,UploadDate,CoordinateLocation,Latitude,Longitude,Easting,Northing
1675521,Drooping sheoak,Allocasuarina verticillata,Allocasuarina,Casuarinaceae,,2017.0,13/10/2017,,,,,Park,24/08/2019,"(-37.79282506412193, 144.948365928362)",-37.79282506412193,144.948365928362,319356.74,5815188.63
1290017,Pin Oak,Quercus palustris,Quercus,Fagaceae,17.0,,,Semi-Mature,31-60 years,60.0,,Street,24/08/2019,"(-37.789720777989544, 144.93049292205134)",-37.78972077798953,144.93049292205134,317775.25,5815498.4
1561693,London Plane,Platanus x acerifolia,Platanus,Platanaceae,,2014.0,27/06/2014,,,,,Street,24/08/2019,"(-37.80956525166433, 144.96005467169402)",-37.80956525166433,144.96005467169402,320426.58,5813353.57
1635286,Black Wattle,Acacia melanoxylon,Acacia,Fabaceae,,2016.0,06/07/2016,,,,,Park,24/08/2019,"(-37.78272921091793, 144.95564447521102)",-37.78272921091793,144.95564447521102,319973.17,5816322.97
1663654,Coastal Banksia,Banksia integrifolia,Banksia,Proteaceae,,2017.0,29/05/2017,,,,,Park,24/08/2019,"(-37.794638259985504, 144.92370152986513)",-37.79463825998551,144.92370152986513,317189.31,5814939.46
1064660,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,2006.0,09/01/2006,,,,,Park,24/08/2019,"(-37.7860401885273, 144.9566442335611)",-37.786040188527295,144.9566442335611,320069.25,5815957.49
1045999,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,1998.0,12/03/1998,,,,,Park,24/08/2019,"(-37.78827802478423, 144.95513499227891)",-37.788278024784226,144.95513499227891,319941.77,5815706.26
1556554,English Elm,Ulmus procera,Ulmus,Ulmaceae,,2014.0,27/03/2014,,,,,Street,24/08/2019,"(-37.816381860810765, 144.98174784663982)",-37.81638186081078,144.9817478466398,322352.74,5812638.64
1019942,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,28.0,1900.0,02/01/2000,Semi-Mature,21-30 years,30.0,,Street,24/08/2019,"(-37.79628502116676, 144.9514708617102)",-37.79628502116676,144.9514708617102,319638.57,5814810.69
1033153,Bangalay,Eucalyptus botryoides,Eucalyptus,Myrtaceae,108.0,1900.0,02/01/2000,Mature,11-20 years,20.0,,Park,24/08/2019,"(-37.822435873035545, 144.9729238794077)",-37.822435873035545,144.9729238794077,321590.55,5811950.03
1521244,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,,,,,,,Park,24/08/2019,"(-37.78730266512626, 144.94359217650975)",-37.787302665126255,144.94359217650975,318922.89,5815792.19
1031869,Brush Box,Lophostemon confertus,Lophostemon,Myrtaceae,,1998.0,09/02/1998,,,,,Park,24/08/2019,"(-37.82997566384628, 144.9741184631029)",-37.829975663846284,144.9741184631029,321713.85,5811115.65
